Symbol,Name,Last Sale,Market Cap,Volume,Sector,Industry
CTV,Innovid Corp.,$2.50 ,334126448,128176,Consumer Discretionary,Advertising
CTVA,Cortevanc.,$63.66 ,45484560720,2674246,Industrials,Major Chemicals
CTXR,Citius Pharmaceuticalsnc.,$1.18 ,172432963,360455,Health Care,Biotechnology: Pharmaceutical Preparations
CUBA,Herzfeld Caribbean Basin Fundnc.,$3.91 ,25106245,9182,Finance,Investment Managers
CUBE,CubeSmart,$41.82 ,9391713369,2695900,Real Estate,Real Estatenvestment Trusts
CUBI,Customers Bancorpnc,$30.08 ,978063021,303019,Finance,Major Banks
CUE,Cue Biopharmanc.,$3.28 ,116064709,199575,Health Care,Biotechnology: Pharmaceutical Preparations
CUEN,Cuentasnc.,$0.26 ,4347379,180811,Consumer Discretionary,Food Distributors
CUK,Carnival Plc ADS ADS,$8.34 ,10834660758,1675999,,
CULL,Cullman Bancorpnc.,$11.26 ,83390355,21,Finance,Savingsnstitutions
CULP,Culpnc.,$4.93 ,60514695,5665,Consumer Discretionary,Textiles
CURI,CuriosityStreamnc. Class A,$1.27 ,67063766,71293,Industrials,Broadcasting
CURO,CURO Group Holdings Corp.,$3.52 ,142508541,155907,Finance,Diversified Financial Services
CURV,Torrid Holdingsnc.,$4.29 ,444530057,174916,Consumer Discretionary,Clothing/Shoe/Accessory Stores
CUTR,Cuteranc.,$50.03 ,981362364,316370,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CUZ,Cousins Propertiesncorporated,$24.56 ,3719225941,1623216,Real Estate,Real Estatenvestment Trusts
CVAC,CureVac N.V. Ordinary Shares,$7.46 ,1419512941,271636,Health Care,Biotechnology: Pharmaceutical Preparations
CVBF,CVB Financial Corporation,$27.57 ,3854506588,676137,Finance,Major Banks
CVCO,Cavcondustriesnc.Whenssued,$241.00 ,2147150699,99382,Consumer Discretionary,Homebuilding
CVCY,Central Valley Community Bancorp,$20.50 ,240506226,20241,Finance,Major Banks
CVE,Cenovus Energync,$18.43 ,35365087410,8083759,Energy,Oil & Gas Production
CVEO,Civeo Corporation (Canada),$28.67 ,393141991,16500,,
CVGI,Commercial Vehicle Groupnc.,$6.83 ,227944297,51485,Consumer Discretionary,Auto Parts:O.E.M.
CVGW,Calavo Growersnc.,$35.76 ,634084197,109930,Consumer Discretionary,Specialty Foods
CVI,CVR Energync.,$32.38 ,3255180796,678184,Energy,Integrated oil Companies
CVII,Churchill Capital Corp VII Class A,$9.97 ,1719825000,348158,Industrials,Consumer Electronics/Appliances
CVLG,Covenant Logistics Groupnc. Class A,$38.01 ,512917963,125690,Industrials,Trucking Freight/Courier Services
CVLT,Commvault Systemsnc.,$64.67 ,2879886897,227931,Technology,Computer Software: Prepackaged Software
CVLY,Codorus Valley Bancorpnc,$22.97 ,219469277,334401,Finance,Savingsnstitutions
CVM,Cel-Sci Corporation,$2.70 ,117092147,293262,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVNA,Carvana Co. Class A,$6.71 ,710909369,16296908,Consumer Discretionary,Other Specialty Stores
CVR,Chicago Rivet & Machine Co.,$28.40 ,27438149,8748,Consumer Discretionary,Industrial Specialties
CVRX,CVRxnc.,$13.39 ,275621943,35448,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CVS,CVS Health Corporation,$101.19 ,1.3296E+11,4060205,Health Care,Managed Health Care
CVT,Cvent Holding Corp.,$5.18 ,2510471833,584118,Technology,Computer Software: Prepackaged Software
CVU,CPI Aerostructuresnc.,$3.69 ,45694846,55451,Industrials,Military/Government/Technical
CVV,CVD Equipment Corporation,$6.09 ,41174112,10705,Technology,Industrial Machinery/Components
CVX,Chevron Corporation,$172.01 ,3.32605E+11,8764989,Energy,Integrated oil Companies
CW,Curtiss-Wright Corporation,$174.73 ,6693499878,259011,,
CWAN,Clearwater Analytics Holdingsnc. Class A,$17.98 ,3403794016,197880,Technology,Computer Software: Prepackaged Software
CWBC,Community West Bancshares,$14.70 ,128768516,3136,Finance,Major Banks
CWBR,CohBarnc.,$1.71 ,4970843,17921,Health Care,Biotechnology:n Vitro &n Vivo Diagnostic Substances
CWCO,Consolidated Water Co. Ltd. Ordinary Shares,$14.52 ,222041408,51736,Utilities,Water Supply
CWEN,Clearway Energync. Class C,$33.69 ,3935140169,477862,Utilities,Electric Utilities: Central
CWH,Camping World Holdingsnc. Class A,$24.74 ,1042351321,1664516,Consumer Discretionary,Other Specialty Stores
CWK,Cushman & Wakefield plc Ordinary Shares,$11.80 ,2663928541,4537000,Finance,Real Estate
CWST,Casella Waste Systemsnc. Class A,$82.35 ,4255868835,162024,Utilities,Environmental Services
CWT,California Water Service Group,$62.57 ,3430337680,282518,Utilities,Water Supply
CX,Cemex S.A.B. de C.V. Sponsored ADR,$4.24 ,6142821675,6162164,Industrials,Building Materials
CXAC,C5 Acquisition Corporation Class A,$10.15 ,364765625,3881,Industrials,Consumer Electronics/Appliances
CXDO,Crexendonc.,$1.95 ,44374526,27393,Consumer Discretionary,Telecommunications Equipment
CXE,MFS Highncome Municipal Trust,$3.63 ,114438556,110414,Finance,Investment Managers
CXH,MFSnvestment Grade Municipal Trust,$7.29 ,66413686,42459,Finance,Investment Managers
CXM,Sprinklrnc. Class A,$8.25 ,2144874971,473112,Technology,Computer Software: Prepackaged Software
CXW,CoreCivicnc.,$12.84 ,1476358159,692410,,
CYAD,Celyad Oncology SA,$1.00 ,22593956,7607,Health Care,Biotechnology: Pharmaceutical Preparations
CYAN,Cyanotech Corporation,$1.23 ,7714524,2879,Consumer Staples,Farming/Seeds/Milling
CYBN,Cybinnc.,$0.34 ,59553560,1164971,Health Care,Pharmaceuticals and Biotechnology
CYBR,CyberArk Software Ltd. Ordinary Shares,$137.38 ,5593609278,597526,Technology,Computer Software: Prepackaged Software
CYCC,Cyclacel Pharmaceuticalsnc.,$0.73 ,9156116,86377,Health Care,Biotechnology: Pharmaceutical Preparations
CYCN,Cyclerion Therapeuticsnc.,$0.69 ,30010987,99164,Health Care,Biotechnology: Pharmaceutical Preparations
CYD,China Yuchainternational Limited,$8.08 ,330132640,14923,Industrials,Construction/Ag Equipment/Trucks
CYH,Community Health Systemsnc.,$3.36 ,452636281,2015055,Health Care,Hospital/Nursing Management
CYN,Cyngnnc.,$0.74 ,24758749,44494,Technology,EDP Services
CYRN,CYREN Ltd. Ordinary Shares,$0.86 ,6855835,49615,Technology,Computer Software: Prepackaged Software
CYRX,CryoPortnc.,$17.74 ,869257144,495493,,
CYT,Cyteir Therapeuticsnc.,$1.33 ,47133753,15394,Health Care,Biotechnology: Pharmaceutical Preparations
CYTH,Cyclo Therapeuticsnc.,$1.69 ,14334323,154786,Health Care,Biotechnology: Pharmaceutical Preparations
CYTK,Cytokineticsncorporated,$37.00 ,3501347037,1132241,Health Care,Biotechnology: Pharmaceutical Preparations
CYTO,Altamira Therapeutics Ltd. 0.2 (Bermuda),$5.21 ,5599255,28384,Health Care,Biotechnology: Pharmaceutical Preparations
CYXT,Cyxtera Technologiesnc. Class A,$1.88 ,337680913,580705,Technology,EDP Services
CZFS,Citizens Financial Servicesnc.,$73.30 ,291089840,2935,Finance,Major Banks
CZNC,Citizens & Northern Corp,$24.40 ,378210150,26440,Finance,Major Banks
CZOO,Cazoo Group Ltd,$0.23 ,178897507,2373555,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CZR,Caesars Entertainmentnc.,$48.71 ,10451514975,2101408,Consumer Discretionary,Hotels/Resorts
CZWI,Citizens Community Bancorpnc.,$12.62 ,132303158,18433,Finance,Savingsnstitutions
D,Dominion Energync.,$58.25 ,48538280691,9698924,Utilities,Electric Utilities: Central
DAC,Danaos Corporation,$52.64 ,1065941787,134604,Consumer Discretionary,Marine Transportation
DADA,Dada Nexus Limited,$7.11 ,1817238537,1734712,Consumer Discretionary,Department/Specialty Retail Stores
DAIO,Data/O Corporation,$3.93 ,34648377,24178,Technology,Industrial Machinery/Components
DAKT,Daktronicsnc.,$3.32 ,149512345,109854,Industrials,Office Equipment/Supplies/Services
DAL,Delta Air Linesnc.,$35.91 ,23025074079,8832886,Consumer Discretionary,Air Freight/Delivery Services
DALN,DallasNews Corporation Series A,$4.44 ,23752210,15302,Consumer Discretionary,Newspapers/Magazines
DALS,DA32 Life Science Tech Acquisition Corp. Class A,$9.89 ,253678500,2,Industrials,Consumer Electronics/Appliances
DAN,Danancorporated,$16.50 ,2365332173,677127,Consumer Discretionary,Auto Parts:O.E.M.
DAO,Youdaonc. each representing one Class A Ordinary Share,$4.86 ,602547446,114201,Real Estate,Other Consumer Services
DAOO,Crypto 1 Acquisition Corp,$10.13 ,291237500,169,Finance,Business Services
DAR,Darlingngredientsnc.,$62.42 ,10004141912,2781603,Consumer Staples,Farming/Seeds/Milling
DARE,Dare Biosciencenc.,$0.92 ,78016000,88891,Health Care,Biotechnology: Pharmaceutical Preparations
DASH,DoorDashnc. Class A,$52.71 ,20462936782,5475264,Industrials,Industrial Machinery/Components
DATS,DatChatnc.,$0.47 ,9701384,20285,Technology,Computer Software: Prepackaged Software
DAVA,Endava plc (each representing one Class A Ordinary Share),$78.44 ,4452632951,247890,Technology,EDP Services
DAVE,Davenc. Class A,$0.37 ,140542312,1167892,Technology,Retail: Computer Software & Peripheral Equipment
DAWN,Day One Biopharmaceuticalsnc.,$21.06 ,1548953018,360834,Health Care,Biotechnology: Pharmaceutical Preparations
DB,Deutsche Bank AG,$10.46 ,21309112000,3785737,Finance,Commercial Banks
DBD,Diebold Nixdorfncorporated,$1.94 ,153411442,2252288,Technology,EDP Services
DBGI,Digital Brands Groupnc.,$4.30 ,4615349,3485791,Consumer Discretionary,Apparel
DBI,Designer Brandsnc. Class A,$11.12 ,707592722,3134159,Consumer Discretionary,Clothing/Shoe/Accessory Stores
DBL,DoubleLine Opportunistic Credit Fund of Beneficialnterest,$14.70 ,230660669,74927,,
DBRG,DigitalBridge Groupnc.,$12.98 ,2075441124,1753835,Real Estate,Building operators
DBTX,Decibel Therapeuticsnc.,$2.91 ,72646701,7940,Health Care,Biotechnology: Pharmaceutical Preparations
DBVT,DBV Technologies S.A.,$1.31 ,245987451,124061,Health Care,Biotechnology: Pharmaceutical Preparations
DBX,Dropboxnc. Class A,$22.32 ,8096275957,2513517,Technology,Computer Software: Prepackaged Software
DC,Dakota Gold Corp.,$3.26 ,238561098,132134,Basic Materials,Precious Metals
DCBO,Docebonc.,$30.14 ,991800825,41147,,
DCF,BNY Mellon Alcentra Global Creditncome 2024 Target Term Fundnc.,$7.47 ,112055431,22914,Finance,Finance/Investors Services
DCFC,Tritium DCFC Limited Ordinary Shares,$1.22 ,186971572,662183,Technology,Electronic Components
DCGO,DocGonc.,$6.52 ,670429895,902502,Health Care,Managed Health Care
DCI,Donaldson Companync.,$59.23 ,7253370065,490165,Industrials,Pollution Control Equipment
DCO,Ducommunncorporated,$47.67 ,576919883,111061,Industrials,Military/Government/Technical
DCOM,Dime Community Bancsharesnc.,$33.18 ,1279874271,106332,Finance,Savingsnstitutions
DCP,DCP Midstream  LP Common Units ,$38.73 ,8071198691,546967,Utilities,Natural Gas Distribution
DCPH,Deciphera Pharmaceuticalsnc.,$15.06 ,1017695328,458432,Health Care,Biotechnology: Pharmaceutical Preparations
DCRD,Decarbonization Plus Acquisition CorporationV Class A Ordinary Share,$10.16 ,401637500,25050,Finance,Business Services
DCT,Duck Creek Technologiesnc.,$10.89 ,1445538796,464120,Technology,Retail: Computer Software & Peripheral Equipment
DCTH,Delcath Systemsnc.,$2.89 ,24847301,3273,Health Care,Medical Specialities
DD,DuPont de Nemoursnc.,$69.97 ,34760322692,2034871,Consumer Discretionary,Wholesale Distributors
DDD,3D Systems Corporation,$9.42 ,1235543826,882367,Technology,Computer peripheral equipment
DDF,Delawarenvestments Dividend &ncome Fundnc.,$8.29 ,63096500,29201,Finance,Finance/Investors Services
DDI,DoubleDownnteractive Co. Ltd. American Depository Shares,$10.61 ,525761998,107105,Technology,EDP Services
DDL,Dingdong (Cayman) Limited (each two representing three Ordinary Shares),$4.83 ,1011241591,232430,Consumer Discretionary,Catalog/Specialty Distribution
DDOG,Datadognc. Class A,$68.58 ,21778253690,4096298,Technology,EDP Services
DDS,Dillard'snc.,$357.28 ,6118389274,112985,Consumer Discretionary,Department/Specialty Retail Stores
DE,Deere & Company,$438.25 ,1.32272E+11,1015905,Industrials,Industrial Machinery/Components
DEA,Easterly Government Propertiesnc.,$15.24 ,1384005680,872975,Real Estate,Real Estatenvestment Trusts
DECA,Denali Capital Acquisition Corp.,$10.22 ,110605950,1,Finance,Business Services
DECK,Deckers Outdoor Corporation,$376.33 ,9960249339,403902,Consumer Discretionary,Shoe Manufacturing
DEI,Douglas Emmettnc.,$15.46 ,2717696471,2524647,Real Estate,Real Estatenvestment Trusts
DELL,Dell Technologiesnc. Class C,$42.47 ,31128810478,2844578,Technology,Computer Manufacturing
DEN,Denburync.,$83.97 ,4181715489,623682,Energy,Oil & Gas Production
DENN,Denny's Corporation,$10.94 ,626132018,709767,Consumer Discretionary,Restaurants
DEO,Diageo plc,$188.89 ,1.0736E+11,314918,Consumer Staples,Beverages (Production/Distribution)
DERM,Journey Medical Corporation,$1.70 ,30123909,8131,Health Care,Biotechnology: Pharmaceutical Preparations
DESP,Despegar.com Corp. Ordinary Shares,$4.97 ,329201334,511317,Consumer Discretionary,Other Consumer Services
DEX,Delaware Enhanced Global Dividend of Beneficialnterest,$8.08 ,86115872,51080,Finance,Finance Companies
DFFN,Diffusion Pharmaceuticalsnc.,$6.26 ,12766907,14399,Health Care,Biotechnology: Pharmaceutical Preparations
DFH,Dream Finders Homesnc. Class A,$9.27 ,859885321,202879,,
DFIN,Donnelley Financial Solutionsnc.,$36.30 ,1056471497,137081,Finance,Investment Managers
DFLI,Dragonfly Energy Holdings Corp.,$9.68 ,418880007,44047,Technology,Electronic Components
DFP,Flaherty & Crumrine Dynamic Preferred andncome Fundnc.,$19.51 ,400146900,52322,Finance,Investment Managers
DFS,Discover Financial Services,$103.87 ,28379960211,1689335,Finance,Finance: Consumer Services
DG,Dollar General Corporation,$245.45 ,54876434415,2398867,Consumer Discretionary,Department/Specialty Retail Stores
DGHI,Digihost Technologync. Common Subordinate Voting Shares,$0.55 ,15302547,11863,,
DGICA,Donegal Groupnc. Class A,$14.97 ,486047098,126636,Finance,Property-Casualtynsurers
DGICB,Donegal Groupnc. Class B,$14.81 ,480852206,65,Finance,Property-Casualtynsurers
DGII,Diginternationalnc.,$40.16 ,1427942333,242025,Technology,Computer peripheral equipment
DGLY,Digital Allync.,$0.31 ,16920279,126827,Technology,Security Systems Services
DGNU,Dragoneer Growth Opportunities Corp.II,$9.85 ,530269904,22695,Finance,Business Services
DGX,Quest Diagnosticsncorporated,$148.97 ,16965815810,1154282,Health Care,Medical Specialities
DH,Definitive Healthcare Corp. Class A,$11.65 ,1224182722,1448729,Technology,Computer Software: Prepackaged Software
DHBC,DHB Capital Corp. Class A,$10.06 ,361531250,2005,Industrials,Consumer Electronics/Appliances
DHBCU,DHB Capital Corp. Unit,$10.02 ,360093750,2755,Industrials,Consumer Electronics/Appliances
DHC,Diversified Healthcare Trust of Beneficialnterest,$0.81 ,194399668,8766018,Real Estate,Real Estatenvestment Trusts
DHCA,DHC Acquisition Corp. Class A ordinary share,$10.03 ,387973840,52,Finance,Business Services
DHF,BNY Mellon High Yield Strategies Fund,$2.30 ,167294028,273870,Finance,Finance Companies
DHHC,DiamondHead Holdings Corp. Class A,$10.03 ,432543750,19361,Industrials,Consumer Electronics/Appliances
DHI,D.R. Hortonnc.,$83.91 ,28893672358,2355952,,
DHIL,Diamond Hillnvestment Groupnc. Class A,$178.00 ,536822190,12801,Finance,Investment Managers
DHR,Danaher Corporation,$265.35 ,1.93165E+11,1710042,Industrials,Industrial Machinery/Components
DHT,DHT Holdingsnc.,$9.52 ,1548459787,2373824,Consumer Discretionary,Marine Transportation
DHX,DHI Groupnc.,$5.31 ,253715028,123491,Consumer Discretionary,Diversified Commercial Services
DHY,Credit Suisse High Yield Bond Fund,$1.92 ,198746371,297118,Finance,Finance/Investors Services
DIAX,Nuveen Dow 30SM Dynamic Overwrite Fund of Beneficialnterest,$15.83 ,575688233,72231,Finance,Finance Companies
DIBS,1stdibs.comnc.,$5.80 ,225798460,213473,Miscellaneous,Diversified Commercial Services
DICE,DICE Therapeuticsnc.,$33.53 ,1598136366,359709,Health Care,Biotechnology: Pharmaceutical Preparations
DIN,Dine Brands Globalnc.,$67.83 ,1063471366,235109,Consumer Discretionary,Restaurants
DINO,HF Sinclair Corporation,$51.29 ,10295469191,2695423,Energy,Integrated oil Companies
DIOD,Diodesncorporated,$85.79 ,3900846678,197679,Technology,Semiconductors
DIS,Walt Disney Company,$92.29 ,1.68299E+11,11492365,Consumer Discretionary,Movies/Entertainment
DISA,Disruptive Acquisition Corporation,$10.04 ,345125000,22402,Finance,Business Services
DISH,DISH Network Corporation Class A,$14.45 ,7668704547,4013278,Consumer Discretionary,Telecommunications Equipment
DIT,AMCON Distributing Company,$171.90 ,105039839,661,Consumer Discretionary,Food Distributors
DJCO,Daily Journal Corp. (S.C.),$270.00 ,371797020,4214,Technology,Retail: Computer Software & Peripheral Equipment
DK,Delek US Holdingsnc.,$26.92 ,1876117147,1080680,Energy,Integrated oil Companies
DKDCA,Data Knights Acquisition Corp. Class A,$10.44 ,156184227,38,Industrials,Consumer Electronics/Appliances
DKL,Delek Logistics Partners L.P. Common Units representing Limited Partnernterests,$47.07 ,2047176866,78535,Energy,Oil & Gas Production
DKNG,DraftKingsnc. Class A,$14.20 ,6373644937,10278336,Consumer Discretionary,Services-Misc. Amusement & Recreation
DKS,Dick's Sporting Goodsnc,$116.57 ,9723278089,1885786,Consumer Discretionary,Other Specialty Stores
DLA,Delta Apparelnc.,$12.00 ,82987956,17251,Consumer Discretionary,Department/Specialty Retail Stores
DLB,Dolby Laboratories,$74.15 ,7115253222,468313,Technology,EDP Services
DLCA,Deep Lake Capital Acquisition Corp.,$10.08 ,260690625,22313,Finance,Business Services
DLHC,DLH Holdings Corp.,$12.48 ,161756637,19670,Consumer Discretionary,Business Services
DLNG,Dynagas LNG Partners LP Common Units,$2.89 ,106358494,72228,,
DLO,DLocal Limited Class A,$12.34 ,3652456023,3462001,Consumer Discretionary,Business Services
DLPN,Dolphin Entertainmentnc.,$2.40 ,24462655,8863,Consumer Discretionary,Advertising
DLR,Digital Realty Trustnc.,$108.05 ,31066781814,1199149,Real Estate,Real Estatenvestment Trusts
DLTH,Duluth Holdingsnc. Class B,$6.05 ,202207365,360969,Consumer Discretionary,Department/Specialty Retail Stores
DLTR,Dollar Treenc.,$145.09 ,32091656058,1603939,Consumer Discretionary,Department/Specialty Retail Stores
DLX,Deluxe Corporation,$18.89 ,814841099,294392,Consumer Discretionary,Advertising
DLY,DoubleLine Yield Opportunities Fund of Beneficialnterest,$13.72 ,657816088,200419,Finance,Investment Managers
DM,Desktop Metalnc. Class A,$1.77 ,562111476,3313550,Technology,Computer peripheral equipment
DMA,Destra Multi-Alternative Fund,$6.80 ,60950025,12306,Finance,Trusts Except Educational Religious and Charitable
DMAC,DiaMedica Therapeuticsnc.,$1.42 ,37549155,116455,Health Care,Pharmaceuticals and Biotechnology
DMB,BNY Mellon Municipal Bondnfrastructure Fundnc.,$11.35 ,208867342,105751,Finance,Trusts Except Educational Religious and Charitable
DMF,BNY Mellon Municipalncomenc.,$6.62 ,137413108,60861,Finance,Finance/Investors Services
DMLP,Dorchester Minerals L.P. Common Units Representing Limited Partnershipnterests,$28.36 ,1088215541,88687,Energy,Oil & Gas Production
DMO,Western Asset Mortgage Opportunity Fundnc.,$10.81 ,123567975,44247,Finance,Trusts Except Educational Religious and Charitable
DMRC,Digimarc Corporation,$22.06 ,441993167,61290,Technology,EDP Services
DMS,Digital Media Solutionsnc.,$1.54 ,61286907,54075,Consumer Discretionary,Advertising
DMTK,DermTechnc.,$2.30 ,69493822,436063,Health Care,Managed Health Care
DMYS,dMY Technology Groupnc. VI Class A,$9.95 ,300365625,235246,Industrials,Consumer Electronics/Appliances
DNA,Ginkgo Bioworks Holdingsnc. Class A,$1.71 ,3317365569,13268065,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DNAB,Social Capital Suvretta Holdings Corp.I,$9.99 ,318581100,11151,Finance,Business Services
DNAD,Social Capital Suvretta Holdings Corp.V,$9.99 ,318581100,402914,Finance,Business Services
DNAY,Codex DNAnc.,$1.22 ,36016544,121544,Health Care,Medical Specialities
DNB,Dun & Bradstreet Holdingsnc.,$13.65 ,5947733323,2876048,Technology,Internet andnformation Services
DNLI,Denali Therapeuticsnc.,$30.46 ,4136884327,486474,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DNMR,Danimer Scientificnc.,$2.01 ,203791233,2522924,Industrials,Plastic Products
DNN,Denison Mines Corp Ordinary Shares (Canada),$1.08 ,887991850,4400868,,
DNOW,NOWnc.,$12.36 ,1365035322,663523,Industrials,Metal Fabrications
DNP,DNP Selectncome Fundnc.,$11.17 ,3894532468,223952,Finance,Investment Managers
DNUT,Krispy Kremenc.,$14.86 ,2488115648,670105,Consumer Discretionary,Specialty Foods
DNZ,D and Z Media Acquisition Corp. Class A,$9.96 ,357937500,100,Industrials,Consumer Electronics/Appliances
DO,Diamond Offshore Drillingnc.,$9.19 ,931692272,796479,Energy,Oil & Gas Production
DOC,Physicians Realty Trust of Beneficialnterest,$14.95 ,3412499857,1627367,Real Estate,Real Estatenvestment Trusts
DOCN,DigitalOcean Holdingsnc.,$28.54 ,2748319177,900826,Technology,Retail: Computer Software & Peripheral Equipment
DOCS,Doximitync. Class A,$33.79 ,6504177190,1939112,Technology,Retail: Computer Software & Peripheral Equipment
DOCU,DocuSignnc.,$41.83 ,8398595986,4696090,Technology,EDP Services
DOGZ,Dogness (International) Corporation Class A,$0.90 ,35519640,63454,Consumer Discretionary,Miscellaneous manufacturingndustries
DOLE,Dole plc Ordinary Shares,$10.41 ,987898590,275255,,
DOMA,Doma Holdingsnc.,$0.40 ,131858271,826638,Finance,Real Estate
DOMO,Domonc. Class B,$14.90 ,510561836,399576,Technology,Computer Software: Prepackaged Software
DOOO,BRPnc. (Recreational Products) Common Subordinate Voting Shares,$76.48 ,6022453316,92488,,
DOOR,Masonitenternational Corporation Ordinary Shares (Canada),$72.42 ,1613230889,115394,,
DORM,Dorman Productsnc.,$86.37 ,2713622323,96099,Consumer Discretionary,Auto Parts:O.E.M.
DOUG,Douglas Ellimannc.,$4.01 ,325805134,596260,Real Estate,Building operators
DOV,Dover Corporation,$139.77 ,19617271592,581654,Industrials,Industrial Machinery/Components
DOW,Downc.,$51.05 ,35926910682,4373389,Industrials,Industrial Specialties
DOX,Amdocs Limited Ordinary Shares,$88.93 ,10845991730,715530,Technology,EDP Services
DOYU,DouYunternational Holdings Limited ADS,$1.23 ,390505123,415715,Technology,Computer Software: Programming Data Processing
DPCS,DP Cap Acquisition Corp,$10.23 ,294112500,185268,Finance,Business Services
DPG,Duff & Phelps Utility andnfrastructure Fundnc.,$13.33 ,507208340,56775,Finance,Trusts Except Educational Religious and Charitable
DPRO,Draganflync.,$0.92 ,30962202,110294,Consumer Discretionary,Electronic Components
DPSI,DecisionPoint Systemsnc.,$9.80 ,72495441,90904,Technology,Retail: Computer Software & Peripheral Equipment
DPZ,Domino's Pizzanc,$369.36 ,13075114627,624149,Consumer Discretionary,Food Distributors
DQ,DAQO New Energy Corp. each representing five ordinary shares,$49.27 ,3694251987,1579274,Technology,Semiconductors
DRAY,Macondray Capital Acquisition Corp.,$10.12 ,363687500,2,Finance,Business Services
DRCT,Direct Digital Holdingsnc. Class A,$2.93 ,41470650,16054,Consumer Discretionary,Advertising
DRD,DRDGOLD Limited,$6.66 ,571412309,192154,Basic Materials,Precious Metals
DRH,Diamondrock Hospitality Company,$8.81 ,1844592252,1016861,Real Estate,Real Estatenvestment Trusts
DRI,Darden Restaurantsnc.,$142.86 ,17484215249,1167947,Consumer Discretionary,Restaurants
DRIO,DarioHealth Corp.,$4.75 ,110659582,107474,Health Care,Medical/Dentalnstruments
DRMA,Dermata Therapeuticsnc.,$0.20 ,2420443,1588675,Health Care,Biotechnology: Pharmaceutical Preparations
DRQ,Dril-Quipnc.,$22.44 ,761158651,214866,Industrials,Metal Fabrications
DRRX,DURECT Corporation,$3.58 ,81573819,158949,Health Care,Biotechnology: Pharmaceutical Preparations
DRS,Leonardo DRSnc.,$10.75 ,1558750000,1416565,Industrials,Military/Government/Technical
DRTS,Alpha Tau Medical Ltd. Ordinary Shares,$3.85 ,265694468,49950,Health Care,Biotechnology: Pharmaceutical Preparations
DRTT,DIRTT Environmental Solutions Ltd.,$0.28 ,27296284,59181,,
DRUG,Bright Minds Biosciencesnc.,$1.02 ,16507538,307019,Health Care,Pharmaceuticals and Biotechnology
DRVN,Driven Brands Holdingsnc.,$29.70 ,4971900196,331839,,
DS,Drive Shacknc.,$0.48 ,44344809,350335,Consumer Discretionary,Movies/Entertainment
DSAQ,Direct Selling Acquisition Corp. Class A,$10.24 ,294400000,650010,Industrials,Consumer Electronics/Appliances
DSEY,Diversey Holdings Ltd. Ordinary Shares,$5.05 ,1637795613,269570,Consumer Discretionary,Specialty Chemicals
DSGN,Design Therapeuticsnc.,$13.50 ,754785959,338287,Health Care,Biotechnology: Pharmaceutical Preparations
DSGR,Distribution Solutions Groupnc.,$35.71 ,703920412,34982,Industrials,Industrial Machinery/Components
DSGX,Descartes Systems Groupnc.,$66.79 ,5663230096,106785,,
DSKE,Dasekenc.,$5.88 ,263865535,504092,,
DSL,DoubleLinencome Solutions Fund of Beneficialnterests,$11.90 ,1213762253,291737,Finance,Trusts Except Educational Religious and Charitable
DSM,BNY Mellon Strategic Municipal Bond Fundnc.,$5.92 ,292617851,180647,Finance,Investment Managers
DSP,Viant Technologync. Class A,$3.46 ,50031891,136718,Technology,EDP Services
DSS,DSSnc.,$0.19 ,27052742,523958,,
DSU,Blackrock Debt Strategies Fundnc.,$9.62 ,448391201,177868,Finance,Finance Companies
DSWL,Deswellndustriesnc.,$3.13 ,49877298,2488,Industrials,Plastic Products
DSX,Diana Shippingnc.,$3.48 ,299975440,547417,Consumer Discretionary,Marine Transportation
DT,Dynatracenc.,$36.01 ,10365586278,2031210,Technology,EDP Services
DTC,Solo Brandsnc. Class A,$4.28 ,272171479,103685,Miscellaneous,Diversified Commercial Services
DTE,DTE Energy Company,$115.87 ,22448884497,1325318,Utilities,Electric Utilities: Central
DTEA,DAVIDsTEAnc.,$0.78 ,20824407,53468,,
DTF,DTF Tax-Freencome 2028 Term Fundnc.,$11.15 ,78379672,10523,Finance,Investment Managers
DTIL,Precision BioSciencesnc.,$1.20 ,133150746,963765,Health Care,Biotechnology: Pharmaceutical Preparations
DTM,DT Midstreamnc.,$57.07 ,5521578600,853605,Utilities,Oil & Gas Production
DTOC,Digital Transformation Opportunities Corp. Class A,$9.94 ,414373750,144069,Industrials,Consumer Electronics/Appliances
DTRT,DTRT Health Acquisition Corp. Class A,$10.42 ,299575000,195194,Industrials,Consumer Electronics/Appliances
DTSS,Dataseanc.,$1.39 ,33811240,28876,Technology,Retail: Computer Software & Peripheral Equipment
DTST,Data Storage Corporation,$1.77 ,12078576,16940,Technology,EDP Services
DUET,DUET Acquisition Corp. Class A,$10.04 ,113025300,60402,Miscellaneous,Other Pharmaceuticals
DUK,Duke Energy Corporation (Holding Company),$100.51 ,77399009214,2828821,Utilities,Power Generation
DUNE,Dune Acquisition Corporation Class A,$9.73 ,53462010,31,Industrials,Consumer Electronics/Appliances
DUO,Fangdd Network Group Ltd.,$1.26 ,6961765,158844,Technology,Computer Software: Programming Data Processing
